Position	26.11_10.07_184.1C_496_9.26_1.00_1.3*10-6
-5.279	0.1
-5.277	0.1
-5.275	0.1
-5.274	0.1
-5.273	0.1
-5.271	0.1
-5.269	0.11
-5.268	0.1
-5.266	0.11
-5.265	0.1
-5.264	0.11
-5.262	0.1
-5.26	0.1
-5.259	0.11
-5.258	0.11
-5.256	0.11
-5.254	0.1
-5.253	0.11
-5.252	0.11
-5.25	0.11
-5.248	0.1
-5.247	0.1
-5.246	0.1
-5.244	0.11
-5.242	0.1
-5.241	0.11
-5.24	0.11
-5.238	0.11
-5.236	0.11
-5.235	0.1
-5.234	0.11
-5.232	0.11
-5.231	0.11
-5.229	0.1
-5.227	0.11
-5.226	0.11
-5.225	0.11
-5.223	0.11
-5.221	0.11
-5.22	0.11
-5.219	0.11
-5.217	0.11
-5.215	0.11
-5.214	0.11
-5.213	0.11
-5.211	0.1
-5.209	0.11
-5.208	0.11
-5.207	0.11
-5.205	0.11
-5.203	0.11
-5.202	0.11
-5.201	0.11
-5.199	0.1
-5.198	0.11
-5.196	0.11
-5.194	0.11
-5.193	0.11
-5.192	0.11
-5.19	0.11
-5.188	0.11
-5.187	0.11
-5.186	0.11
-5.184	0.11
-5.182	0.1
-5.181	0.11
-5.18	0.11
-5.178	0.11
-5.176	0.11
-5.175	0.11
-5.174	0.11
-5.172	0.12
-5.17	0.11
-5.169	0.11
-5.168	0.11
-5.166	0.11
-5.165	0.11
-5.163	0.11
-5.161	0.11
-5.16	0.11
-5.159	0.11
-5.157	0.11
-5.155	0.11
-5.154	0.11
-5.153	0.11
-5.151	0.11
-5.149	0.11
-5.148	0.11
-5.147	0.11
-5.145	0.11
-5.143	0.11
-5.142	0.11
-5.141	0.11
-5.139	0.1
-5.137	0.11
-5.136	0.11
-5.135	0.11
-5.133	0.11
-5.131	0.11
-5.13	0.11
-5.128	0.11
-5.127	0.11
-5.126	0.11
-5.124	0.11
-5.122	0.11
-5.121	0.11
-5.12	0.11
-5.118	0.11
-5.116	0.11
-5.115	0.11
-5.114	0.11
-5.112	0.11
-5.11	0.11
-5.109	0.11
-5.108	0.11
-5.106	0.11
-5.104	0.11
-5.103	0.1
-5.102	0.11
-5.1	0.11
-5.098	0.11
-5.097	0.11
-5.095	0.11
-5.094	0.11
-5.093	0.11
-5.091	0.11
-5.089	0.11
-5.088	0.11
-5.087	0.11
-5.085	0.11
-5.083	0.11
-5.082	0.11
-5.081	0.11
-5.079	0.11
-5.077	0.11
-5.076	0.11
-5.075	0.11
-5.073	0.11
-5.071	0.11
-5.07	0.11
-5.069	0.11
-5.067	0.11
-5.065	0.11
-5.064	0.11
-5.063	0.11
-5.061	0.11
